id,timestamp,team_id,level,type,death_reason,data
6364,2026-01-16 20:31:33.36087+00,966,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6365,2026-01-16 20:31:33.456498+00,939,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
6366,2026-01-16 20:31:36.070842+00,51,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_07"",""mini_game_id"":""emoji-riddles""}"
6367,2026-01-16 20:31:37.614498+00,966,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6369,2026-01-16 20:31:39.731039+00,932,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
6380,2026-01-16 20:32:05.409353+00,965,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_05"",""mini_game_id"":""word-encodings""}"
6382,2026-01-16 20:32:20.355944+00,927,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
6383,2026-01-16 20:32:23.980987+00,56,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6387,2026-01-16 20:32:34.810002+00,965,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_05"",""mini_game_id"":""word-encodings""}"
6391,2026-01-16 20:32:40.178925+00,894,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_06"",""mini_game_id"":""flag-identification""}"
6396,2026-01-16 20:32:46.777946+00,927,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
6398,2026-01-16 20:32:49.443751+00,966,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6402,2026-01-16 20:32:58.046871+00,932,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
6405,2026-01-16 20:33:00.472252+00,926,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6407,2026-01-16 20:33:02.034864+00,966,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6414,2026-01-16 20:33:17.777654+00,926,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6419,2026-01-16 20:33:27.60456+00,926,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6420,2026-01-16 20:33:28.595907+00,966,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6422,2026-01-16 20:33:33.013874+00,52,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6423,2026-01-16 20:33:33.099486+00,51,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_07"",""mini_game_id"":""emoji-riddles""}"
6425,2026-01-16 20:33:37.535852+00,966,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6426,2026-01-16 20:33:37.580739+00,807,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_07"",""mini_game_id"":""emoji-riddles""}"
6469,2026-01-16 20:34:57.76128+00,932,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
6487,2026-01-16 20:35:26.502988+00,38,CEMETERY,death_spike_trap,SPIKE_TRAP,"{""death_reason"":""SPIKE_TRAP""}"
6503,2026-01-16 20:35:57.32748+00,926,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_02"",""mini_game_id"":""arithmetic-practice""}"
6513,2026-01-16 20:36:08.44517+00,949,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_04"",""mini_game_id"":""wheel-of-fish""}"
6518,2026-01-16 20:36:13.180597+00,38,CEMETERY,death_spike_trap,SPIKE_TRAP,"{""death_reason"":""SPIKE_TRAP""}"
6519,2026-01-16 20:36:14.982204+00,38,CEMETERY,WISP_ATTACK,WISP_ATTACK,"{""death_reason"":""WISP_ATTACK""}"
6538,2026-01-16 20:36:43.901386+00,859,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6558,2026-01-16 20:37:07.335956+00,500,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
6562,2026-01-16 20:37:12.598759+00,12,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
6569,2026-01-16 20:37:18.38213+00,38,CEMETERY,death_spike_trap,SPIKE_TRAP,"{""death_reason"":""SPIKE_TRAP""}"
6582,2026-01-16 20:37:33.543488+00,663,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
6597,2026-01-16 20:37:47.902728+00,38,CEMETERY,death_flame_trap,FLAME_TRAP,"{""death_reason"":""FLAME_TRAP""}"
6602,2026-01-16 20:37:50.824913+00,26,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
6603,2026-01-16 20:37:50.900592+00,38,CEMETERY,death_spike_trap,SPIKE_TRAP,"{""death_reason"":""SPIKE_TRAP""}"
6604,2026-01-16 20:37:52.754957+00,38,CEMETERY,death_flame_trap,FLAME_TRAP,"{""death_reason"":""FLAME_TRAP""}"
6608,2026-01-16 20:37:57.278897+00,761,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6617,2026-01-16 20:38:02.048443+00,663,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
6634,2026-01-16 20:38:17.525792+00,365,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6639,2026-01-16 20:38:22.096787+00,932,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
6342,2026-01-16 20:30:57.427744+00,22,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
6343,2026-01-16 20:30:59.870164+00,939,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
6344,2026-01-16 20:31:03.768431+00,31,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6346,2026-01-16 20:31:04.972492+00,966,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
